source_db,old_author_id,old_first_name,old_last_name,new_author_id
db2,32,Athena,Stergiou,b37cff04-5fd7-5dd8-9478-f1fc24be9191
db2,33,Alexis,Paramythis,596d4cdd-5433-5b20-86eb-72f539bc3673
db2,34,Nikos,Karidis,9be9c6a1-c4a1-5679-8684-c82b37d8d138
db2,35,Z.,Katsaitis,4200f8dd-4390-5cf6-bd9a-290490723721
db2,36,M. Q.,Hasan,1ebbd000-cb3c-516f-877f-d736ac20d284
db2,37,Yannis,Kasmeridis,311927c7-daff-5dca-b3dc-7c3f549ce521
db2,38,Christos,Dagiakidis,b5549729-7597-50c6-b0cb-706f4da879d9
db2,39,Danae,Ioannidi,0db48d36-5ff8-5082-93f6-ec261738f04a
db2,40,Γιώργος,Μαλαθράκης,4095db28-e969-5f41-8521-7b4f805cc078
db2,41,Στάθης,Τριανταφύλλου,9ee574da-a007-5b6b-b506-8289c72f0944
db2,42,S.,Orphanoudakis,3afb257b-3de3-50d0-ae92-25a5af1074a7
db2,43,P.,Kofakis,efb19ec7-c08f-5d3c-a8eb-8f1cbbf653b2
db2,44,E.,Petrakis,24d156d6-b52f-5173-9da9-5683f0682f5e
db2,45,G.,Kouroupetroglou,4e085092-9ac6-59cc-bed1-800917dc109a
db2,46,D.,Majoe,ce41d3b0-c6c0-5f38-9a85-3ec9ac1fd158
db2,47,E.,Kemppainen,d0e3c758-6790-5eb1-913e-3dc43c0ab0e2
db2,48,J.,Lindstrom,86d00991-35f5-5132-b9d9-0bcd4e71845c
db2,49,M.,Martin,c2102398-de01-5f2d-8bbd-a90e3886de57
db2,50,M.,Wiederholt,edbee225-c63e-5fdc-849b-50d62ef440ed
db2,51,K.,Fellbaum,c63e66a6-536f-5c88-ae39-f684f4e43c22
db2,52,G.,Klause,781ae36e-6d42-5aaf-b734-d58e6258e12f
db2,53,M.,Whybray,021a761f-f652-5e2a-9f9c-26b090c04bda
db2,54,J.,Ekberg,8ffa94f1-3aee-5b69-9c01-0972ae6428d8
db2,55,K.,Nordby,54778661-f172-565e-85e0-0973bf35cc95
db2,56,G.,Jansson,0b8c525d-f713-5733-9216-10ca93926aff
db2,57,H.,Hamailainen,801246f6-5e54-585e-a0f7-4a241e488889
db2,58,C.R.,Cavonius,c57d8ea7-4b44-5241-8772-62caa3b46022
db2,59,J.,Engelen,0c1d7d0d-f252-5277-a8f3-8878f9cae3e1
db2,60,B.,Allen,c9121b41-a0a7-524a-9d56-19bc2e85fe46
db2,61,Ramon Puig,de la Bellacasa,125ced7d-6c20-5ce1-9917-212bcd5932ca
db2,62,A.S.,Pereira,136e340a-4c45-55e9-a09e-d6c0541c2d8c
db2,63,Stephen,von Tetzhner,c106a6e7-05fa-53c1-8bac-9d9d86261c33
db2,64,Marco,Mercinelli,f2142956-41d9-5821-9c29-501c3035dcb0
db2,65,Gunnar,Hellstroem,5ecc833e-0d61-5319-96a8-05b35e44c9c4
db2,66,A.,Spaepen,6f17389b-b2f9-573f-aab4-241ee73f648c
db2,67,A.,Georgiou,36f194dd-ad13-517f-875e-2164133c63a8
db2,68,Panos,Trahanias,10c0a5d7-76e5-5ad5-ba08-4bc5929b8037
db2,69,Adam,Leventis,7fe27dbb-8775-5ba0-a4bd-15dc260a2c3d
db2,70,Napoleon,Maou,5b799e33-d58b-5ef7-ba1a-17a2735fda9d
db2,71,N.,Psaroudakis,ae8c17c5-c16b-5b96-ad8b-7e83070cdaf5
db2,72,E.,Lagoudaki,408b9b20-e30b-5cff-b7b0-36198d0200b8
db2,73,A.,Korte,b1670175-ba72-5af5-a5c6-17b3fe80885c
db2,74,K.,Crispien,d93e8443-848c-5712-8caa-120790ee054b
db2,75,G.,Salvendy,6f10228e-f5dd-51a0-98e5-e69fd4451207
db2,76,G.,Vernardos,17b2cdf4-7268-5e3b-93a4-88ec54ad814a
db2,77,J.,Ziegler,766e9b8b-5888-5554-8521-89633fb70c07
db2,78,K.-P.,Faenrich,1bcc6515-478a-5fd8-be27-8e743280c1f3
db2,79,C.,Stary,4320cd95-a53f-5123-bb12-ec08e7f25f0e
db2,80,N.,Vidakis,e4b278b7-061a-5369-9e82-679364d1e251
db2,81,E.,Palchetti,a0472c42-c0f9-569f-bdea-ff7a9f0dc464
db2,82,M.,Billi,a169a0ec-ded9-5e09-a35e-8dd83e9bc496
db2,83,J.,Schreck,865c7230-1b70-5f2b-ae2a-516dbbe45c10
db2,84,J.,Fink,70dfc083-02e7-5886-b6f0-74d551d0f114
db2,85,A.,Vindigni,b66d05e9-39ee-5d1b-94e0-f7d8cbbd5a55
db2,86,R.,Lauder,5f860534-9b8b-5535-a763-82d9bc83e6c7
db2,87,E.,Kaasinen,49f549c6-60a4-5e77-ac68-ed109241fc60
db2,88,K.,Kauppila,4e525de1-1d24-5d45-a479-dd12418324d2
db2,89,A.-L.,Salminen,3818a920-96b7-5b4e-9bac-6d74433fa7c4
db2,90,A.,Nill,08bacee6-7ebc-5714-953e-6547c3995423
db2,91,L .,Horelli,ea9fcbb1-0069-58c0-b116-a2a0c6bd777e
db2,92,Veli-Pekka,Raty,4d14f3ba-6c56-5105-8fae-b214e77d4fd5
db2,93,J.,Ahonen,0d096108-53f3-5377-8f93-6c3ad6a7ded2
db2,94,A.,Kalliala,efc5e0a0-f9a6-5a32-85a3-45fc0779332b
db2,95,K.,Nyholm,17e429d0-95a6-57b7-8157-83f24e602837
db2,96,T.,Pulli,cf9c9b99-78f5-5561-9d9f-38b6169cbe65
db2,97,K.,Salomaa,36715814-9979-57a3-942e-dad14c88c010
db2,98,U.,Olsson,8e5928d3-40a6-5046-97de-30679d83663c
db2,99,S.,Haataja,cac2aecf-82bc-5e24-9d1f-7a7f858c2baa
db2,100,M.,Kalogirou,8d268f57-8d4d-50e1-8a57-f50b4b20b246
