"BookTopicID","TopicID","BookID"
"2557","42","326"
"2558","22","327"
"2559","14","328"
"2560","14","329"
"2561","104","330"
"2562","34","331"
"2563","34","332"
"2564","34","333"
"2565","14","334"
"2566","89","335"
"2568","78","337"
"2569","14","338"
"2570","116","339"
"2571","116","340"
"2572","116","341"
"2573","63","342"
"2574","148","343"
"2575","42","344"
"2576","92","345"
"2577","75","346"
"2578","15","347"
"2579","7","348"
"2580","107","349"
"2581","80","350"
"2582","72","351"
"2583","14","352"
"2584","29","353"
"2585","108","354"
"2586","59","355"
"2587","10","356"
"2588","10","357"
"2589","10","358"
"2590","15","359"
"2591","257","360"
"2592","86","361"
"2593","110","362"
"2594","110","363"
"2595","14","364"
"2596","14","365"
"2597","68","366"
"2598","23","367"
"2599","10","368"
"2600","14","369"
"2601","14","370"
"2602","14","371"
"2603","14","372"
"2604","7","373"
"2605","89","374"
"2606","113","375"
"2607","113","376"
"2608","22","377"
"2609","26","378"
"2610","49","379"
"2611","112","380"
"2612","26","381"
"2613","113","382"
"2614","114","383"
"2615","42","384"
"2616","58","385"
"2617","58","386"
"2618","10","387"
"2619","78","388"
"2620","7","389"
"2621","7","390"
"2622","42","391"
"2623","53","392"
"2624","116","393"
"2625","22","394"
"2626","26","395"
"2627","63","396"
"2628","10","397"
"2629","22","398"
"2630","10","399"
"2631","10","400"
"2632","10","401"
"2633","26","402"
"2634","30","403"
"2635","15","404"
"2636","8","405"
"2637","29","406"
"2638","89","407"
"2639","89","408"
"2640","53","409"
"2641","81","410"
"2642","117","411"
"2644","9","413"
"2645","9","414"
"2646","53","415"
"2647","42","416"
"2648","77","417"
"2649","76","418"
"2650","76","419"
"2651","5","420"
"2652","22","421"
"2653","76","422"
"2654","72","423"
"2655","104","424"
"2656","80","425"
"2657","40","426"
"2658","5","427"
"2659","5","428"
"2660","196","429"
"2661","34","430"
"2662","108","431"
"2663","71","432"
"2664","75","433"
"2665","61","434"
"2666","143","435"
"2667","15","436"
"2668","42","437"
"2669","42","438"
"2670","10","439"
"2671","92","441"
"2672","80","442"
"2673","80","443"
"2674","80","444"
"2675","80","445"
"2676","22","446"
"2677","24","447"
"2678","42","448"
"2679","119","449"
"2680","208","450"
"2681","119","451"
"2683","58","453"
"2684","116","454"
"2685","31","455"
"2686","34","456"
"2687","15","457"
"2688","12","458"
"2689","10","459"
"2690","24","460"
"2691","27","461"
"2692","122","462"
"2693","122","463"
"2694","10","464"
"2695","25","465"
"2696","89","466"
"2697","36","467"
"2698","42","468"
"2699","72","469"
"2700","46","470"
"2701","48","471"
"2702","48","472"
"2703","48","473"
"2704","48","474"
"2705","48","475"
"2706","48","476"
"2707","48","477"
"2708","48","478"
"2709","48","479"
"2710","48","480"
"2711","48","481"
"2712","48","482"
"2713","48","483"
"2714","48","484"
"2715","48","485"
"2716","48","486"
"2717","48","487"
"2718","48","488"
"2719","48","489"
"2720","16","490"
"2721","82","491"
"2722","82","492"
"2723","82","493"
"2724","82","494"
"2725","82","495"
"2726","82","496"
"2727","82","497"
"2728","82","498"
"2729","82","499"
"2730","46","500"
"2731","123","501"
"2732","37","502"
"2733","82","503"
"2734","123","504"
"2735","123","505"
"2736","123","506"
"2737","123","507"
"2738","123","508"
"2739","123","509"
"2741","46","511"
"2742","46","512"
"2743","46","513"
"2744","46","514"
"2745","46","515"
"2746","46","516"
"2747","46","517"
"2748","46","518"
"2749","46","519"
"2750","46","520"
"2751","46","521"
"2752","46","522"
"2753","46","523"
"2754","46","524"
"2755","46","525"
"2756","46","526"
"2757","46","527"
"2758","46","528"
"2759","46","529"
"2760","119","530"
"2761","90","531"
"2762","90","532"
"2763","9","533"
"2764","9","534"
"2765","9","535"
"2766","16","536"
"2768","48","538"
"2769","48","539"
"2770","3","540"
"2771","16","541"
"2772","16","542"
"2773","16","543"
"2774","16","544"
"2775","82","545"
"2776","16","546"
"2777","90","547"
"2778","90","548"
"2779","90","549"
"2780","125","550"
"2781","125","551"
"2782","16","552"
"2783","16","553"
"2784","22","554"
"2785","48","555"
"2786","48","556"
"2787","48","557"
"2788","48","558"
"2789","48","559"
"2790","48","560"
"2791","48","561"
"2792","48","562"
"2793","48","563"
"2794","48","564"
"2795","48","565"
"2796","48","566"
"2797","48","567"
"2798","48","568"
"2799","48","569"
"2800","48","570"
"2801","126","571"
"2802","82","572"
"2803","48","573"
"2804","48","574"
"2805","48","575"
"2806","127","576"
"2807","16","577"
"2808","123","578"
"2809","82","579"
"2810","48","580"
"2811","48","581"
"2812","127","582"
"2813","82","583"
"2814","82","584"
"2815","125","585"
"2816","116","586"
"2817","46","587"
"2818","46","588"
"2819","73","589"
"2820","73","590"
"2821","26","591"
"2822","27","592"
"2823","27","593"
"2824","27","594"
"2825","27","595"
"2826","27","596"
"2827","27","597"
"2828","27","598"
"2829","27","599"
"2830","27","600"
"2831","128","601"
"2832","128","602"
"2833","128","603"
"2834","27","604"
"2835","128","605"
"2836","128","606"
"2837","27","607"
"2838","27","608"
"2840","119","610"
"2841","5","611"
"2842","7","612"
"2843","21","613"
"2844","23","614"
"2845","30","615"
"2846","196","616"
"2847","75","617"
"2848","48","618"
"2849","129","619"
"2850","42","620"
"2851","22","621"
"2852","7","622"
"2853","26","623"
"2854","26","624"
"2855","26","625"
"2856","22","626"
"2857","49","627"
"2858","15","628"
"2859","22","629"
"2860","131","630"
"2861","132","631"
"2862","76","632"
"2863","34","633"
"2864","9","634"
"2865","112","635"
"2866","112","636"
"2867","75","637"
"2868","75","638"
"2869","14","639"
"2870","14","640"
"2871","23","641"
"2872","23","642"
"2873","7","643"
"2874","7","644"
"2876","53","646"
"2877","22","647"
"2878","103","648"
"2879","14","649"
"2880","12","650"
"2881","25","651"
"2882","42","652"
"2883","75","653"
"2885","29","655"
"2886","71","656"
"2887","89","657"
"2888","22","658"
"2889","5","659"
"2890","68","660"
"2891","113","661"
"2892","23","662"
"2893","23","663"
"2894","281","664"
"2895","22","665"
"2896","24","666"
"2897","75","667"
"2898","51","668"
"2899","9","669"
"2900","8","670"
"2901","22","671"
"2902","5","672"
"2903","22","673"
"2904","22","674"
"2905","14","675"
"2906","92","676"
"2907","14","677"
"2908","131","678"
"2909","27","679"
"2910","10","680"
"2911","207","681"
"2912","207","682"
"2913","10","683"
"2914","92","684"
"2915","null","685"
"2916","48","686"
"2917","61","687"
"2918","22","688"
"2919","103","689"
"2920","31","690"
"2921","10","691"
"2922","10","692"
"2923","257","693"
"2924","15","694"
"2925","75","695"
"2926","116","696"
"2927","72","697"
"2928","116","698"
"2929","14","699"
"2930","14","700"
"2931","90","701"
"2932","34","702"
"2933","108","703"
"2934","40","704"
"2935","26","705"
"2936","22","706"
"2937","24","707"
"2938","15","708"
"2939","26","709"
"2940","42","710"
"2941","250","711"
"2942","15","712"
"2943","71","713"
"2944","22","714"
"2945","22","715"
"2946","15","716"
"2947","103","717"
"2948","15","718"
"2949","137","719"
"2950","23","720"
"2951","104","721"
"2952","104","722"
"2953","106","723"
"2954","63","724"
"2955","90","725"
"2956","14","726"
"2957","15","727"
"2958","42","728"
"2959","137","729"
"2960","15","730"
"2961","8","731"
"2962","10","732"
"2963","7","733"
"2964","22","734"
"2965","261","735"
"2966","7","736"
"2967","54","737"
"2968","3","738"
"2969","3","739"
"2970","89","740"
"2971","53","741"
"2972","10","742"
"2973","14","743"
"2976","5","746"
"2977","23","747"
"2978","76","748"
"2979","51","749"
"2980","92","750"
"2981","14","751"
"2982","22","752"
"2983","139","753"
"2984","139","754"
"2985","139","755"
"2986","26","756"
"2987","21","757"
"2988","22","758"
"2989","25","759"
"2990","42","760"
"2991","81","761"
"2992","26","762"
"2993","63","763"
"2994","48","764"
"2995","73","765"
"2996","82","766"
"2997","140","767"
"2998","73","768"
"2999","141","769"
"3000","142","770"
"3001","63","771"
"3002","25","772"
"3003","22","773"
"3004","250","774"
"3005","103","775"
"3006","10","776"
"3007","22","777"
"3008","143","778"
"3009","22","779"
"3010","37","780"
"3011","26","781"
