author_id,first_name,last_name
fa71dffe-f6c7-5333-ad06-fb5bdfc0e269,H.,Eriksson
c27fe761-0e05-54e6-8805-591a559f2078,F.,Gremy
7359cd69-85f0-575e-9435-4157d34c037f,J.,Hickey
ab6b694b-3b7f-5350-b343-f877bd86fe36,P.,Micossi
63ed6b1e-2e1d-5bd4-82ef-6ac38764a8a7,J.L.,Monteagudo
f25e391d-4bf1-5910-a8ef-83b70ae06db6,N.,Rossing
cc418342-e2c9-551b-bf6d-7290609fec80,G.,Sanderson
0cb3a7f4-6988-5b3e-ae78-6a7bde156fc0,I.,Sannes
3f2c1e7c-dd28-5dfd-808d-29f6709ff84f,K.,Smedema
36ccc5fa-f141-5932-8e9a-ee2b95cfcc83,M.,Tolppanen
301e2579-04cf-54a3-82af-79a13c1ec0b6,J.H.,Van Bemmel
2e9b8c0c-130a-57a4-b2e7-a89f4239574d,W.,Van Eimeren
5139b34e-1e2a-5ecb-b322-ec1627a1d2bf,K.,Voge
44f70ca5-98f9-5f8f-a955-bb03ac7db9f8,J-C.,Healy
f3150e0c-5700-5c12-bbcd-28a7076b35fb,P.,Karp
29386da2-8c2a-51d6-8b24-b84396924528,J.,Lacompe
78a5ab6b-f8f8-5eb2-9507-174eaa0f1c80,P.,Atkinson
b2b0da1f-fa52-5ce0-9c37-3d2e8612688f,L.,Martinelli
d65a4ceb-975e-5fab-a8ea-b95990ff56f3,S.S.,Baig
1fa2748b-0592-5c6a-a13f-6fe06cca75d7,Harald,Weber
5731e49b-a1a1-5e7e-b60a-84c690879bba,M.,Pieper
0cfa3429-ff10-5a49-bdf2-2f3083a206d5,A.,Nabil
c9db5f4f-22b6-56d2-ad6f-b85109dfe81e,M.F.,Costabile
468044c8-8b1a-5ed4-b116-88053e18f01a,H.,Doare
cb6bedd9-d44a-51ee-867e-ac476c08a904,V.,Frank
8b7d35c1-bcc9-50c7-8ff4-134c381ebf1d,G.,De Moor
f7a4afe0-3308-5f11-a0c9-5fbf1089810b,M.F.,Story
a4dc61e8-4f06-5e06-9f0a-39a17958d2ad,G.,Vanderdonckt
865bef54-cdf2-5af6-a6c2-741511b8db49,W.,Dierckx
9b9065fc-6f80-5c56-96df-318772b4c25c,L.,Karefylaki
3f56227d-1cfb-5884-a237-b04481fc63e8,Zacharias,Protogeros
f43ae89b-a8f8-593c-a3b1-e6e56775540c,,Leiderman
09f94686-78a4-5d4c-868a-64be14c96b79,Frank,Leidermann
2b0a9e7f-b608-5136-8491-111353096eb9,S.,Lalis
c9912160-ebde-5fb5-aa86-2a4ef9e00e8b,Alexandros,Mourouzis
083fdabf-c7e4-524c-94e6-20cee7c15f7e,Stavroula,Ntoa
d887dc74-9189-50bb-8463-4ea525578f73,George,Kartakis
11ea1587-4bc5-5472-ba58-0ab215a45c5f,Vassilis,Zarikas
2db6877b-773f-59a6-ad28-eb16d4ee04e2,George,Papatzanis
78d1ae21-d246-5ea5-b31c-0937e88e57bc,Ioannis,Pachoulakis
c5864d30-fb3d-59bb-a562-1fb9809c5941,R.W.,Proctor
2102e279-d00a-5a57-8f30-27261898c6ae,K.-P.,Vu
6f7ee010-667f-5fcc-8428-9df33e89ae28,Gavriel,Salbendy
35b63934-e166-5cc6-b2d5-eb8ca08f6acd,Gavriel,Salvendy
