book_topic_id,topic_name
e0e2e70f-ea38-5498-9ad9-6f885f1b1d35,Computer-Biographies
b8d112b7-4bd5-5eec-a16e-c8bfc680c703,Geometry
1c4b5022-97ae-5a5b-b2d4-6e75cf93e457,UNIX Programming
d63f2afb-28ae-5a9d-9526-f962533eee5d,PowerChute Plus
73cdd824-6ae0-5a77-9ebc-cbed2823958f,Norton Utilities
27ebc23f-2a7a-5686-b74f-d440f78a9e70,Grammatik 5
6335fbee-c7bf-5ec4-95fb-1d658047b21c,Autodesk 3D Studio
1d5437c6-9f75-57d9-b977-849799887e63,Cyberscpace Developer Kit
ca622c5b-1b28-591f-b5de-18d7d1254a66,Turbo Assembler
4394ffad-91ce-5574-b8a5-7185c9c71b70,Turbo Debugger
e7b56441-6f75-5c37-b4a7-b77e29a781b3,Turbo Profiler
1a621742-1d69-56c9-be0c-8d04bc5721e9,Java
e3c25a4b-5f82-5199-ba5d-fb1091d5c1ae,Internet Programming
ba237e4b-a630-5705-b41d-873099260281,Automated Reasoning
7fc5d082-12bc-5c85-b137-373eb9b8fa50,Business Re-engineering
eb761d9f-f4b1-5b2c-aa62-e201d0ed5a5d,Interactive Systems
221eeb5a-17f7-5ac0-9a22-f890837c8fd7,Systems Development
c4b662d8-d5f4-5b3f-8eba-5a2272e7fbb7,Cryptography
372fdd6d-5f22-5bff-bca8-88f2439a8884,Semiotics
7a22006a-9bbd-5d3e-b0e4-3d05e248cfda,Research Reports ESPRIT
945fc630-c77d-57df-966b-03b618de60eb,Speech Technology
567ca04b-5f98-5eec-9ce7-071788db9af9,Document designing
46cfe9a9-f86b-50c2-b2e0-0f13d7e3f7fb,Programming
2ba5103c-78cf-5ce0-a71d-36fe64c0bbf3,Computer Visualisation
cfa02237-35c1-5308-b8c5-0c0e731f25f5,Computer Documentation
94dd89cf-b9d8-5b8b-9cf0-20e1fa0b6a52,Algorithms
5d81dd09-de12-5b60-b079-538cb32c7585,Computers and Civilisation
f46a684b-cfa4-594a-bd03-75791aab7269,Juvenile Literature
5ff2ebcf-51be-5697-9668-f4afa23b9c03,Information Security
8cce6f53-d802-5368-95b7-31e79e75c378,Graphic design
629e1870-4093-52e1-9d16-a8b6e98b2f68,Typography
22995feb-543c-5be9-8f99-dd296d9c3230,Art & Science
d07060be-4ca6-5c2f-a299-fc19b9ff4039,Ethical & Social Aspects
ab20018b-c338-5b52-8293-0be7157bb8ee,Information Theory
11b11ed7-f41b-56c7-ab0b-ae3376129934,Data Processing
8f3eec68-e648-52d3-8b63-bcc0a769ab67,Law
77b92d44-23bf-5f6b-b777-17d779da014f,Distance Learning
0d090792-e3d5-5a2f-962e-dfdd3981ec17,Sign Language
5641a177-47c6-51af-a39a-67d7c0555e54,Computer Animation
dab03621-3822-5c86-91b0-73ff8c491cf0,Bioethics
1c4b2637-ccf9-5ef5-acc9-212b830ea596,Endophysics
32f2c390-33c9-5d94-be36-b02d998436aa,Teaching and Learning
37fdb04d-b62e-57e4-835c-498d80839f7b,Computers and Children
3ac5ae5c-dbd3-5ce5-a549-9a4bb11ddeb9,Research Report
47e814d4-a6c6-5075-9cd8-ae6b9f6ead04,Communication and Technology
9263a43c-c7e0-58e3-a161-e6b1a777d08e,Desktop publishing
3ee68fe5-ba56-523c-9293-ba8d0165d7e5,Business Presentations
36c43c87-639e-5765-ae84-72eed40b4823,Technology
28d2e92e-338e-5dd6-9c3a-a1c05b255d78,Accessibility
4f3ed03e-000f-5deb-9f04-657038445181,Telemedicine
e07754a4-ef2c-5784-848e-b535612bab34,Health
a2845e0e-25cd-5b07-85ba-b6486f0b93dd,Computational Geometry
b80ed22a-40db-5bc7-85be-87957a479455,Design
ce63399e-6850-51fb-93ea-94f4d886bf57,PowerPoint
7faafaf6-7269-5e69-9da9-74a07f54d1f2,Gerontechnology
8f3ea10e-7305-5df9-8b79-02fdb8b20d62,Smart Homes
ec7fb4b9-57da-5046-ad02-d82631b7b92b,Video Telephony
33c93c99-f16b-51e9-9d2c-13600617a3ab,Text telephony
c7382d18-2261-53e6-ac42-098ff2022731,Media
f87a0938-6e23-5fb5-bac5-74f355a6ef03,Information networks
47d69022-db7d-5842-8c57-8527cbb83493,Educational
84900b1f-e018-5773-ab5e-a59ea268710d,Children's Learning
db0159d9-1b59-5f85-9ff6-16e0e7f3f119,Interactive Multimedia
fe90729b-1f7b-5dd0-9b2d-8f1e03dff8e7,Art & Electronics
b1b63402-ebb1-503c-be66-4458024ec06d,Video Techniques
9ac69639-94c8-5d6b-9a14-dd1747ae7f60,Activity theory
d6cd7961-9a86-5c4e-aff0-69f630ad79f0,WWW
9f350584-c5ed-5150-a59c-3fb1e0c29914,Benchmarking
7527919a-32bf-5113-aa50-104d2c8cd572,Teleworking
e87dfca3-c85a-5ff9-8a85-f02d608bc807,Mathematical models
b065f523-aa1b-5b12-be2c-34c4b1313579,Guidelines
9ab2e892-b932-5d03-9cdb-fc5ce8f32d81,Computer Networks
7b213f1d-6675-5804-a205-708e2712a1bb,Graphical User Interfaces
04802ba0-2be5-5e8c-97d0-97a15153769e,Web Design
d05c0b39-d402-53b3-932b-62b3f5d82cb9,e-commerce
f267ddf7-c4d3-5200-a204-894afcc4de5b,Animation
5ff603c4-a6b0-5cdd-b4fa-a7c3d3ebd4f4,Instructional Systems
69c53d1f-9212-5f68-885d-0aa432319c8e,Decision Making
fbb3bdd3-0958-5c72-bb20-11f131bd05f3,Computer-aided design
fcd5d64e-b903-57ce-bf64-80d83ecd160a,Task Analysis
165d7f39-e8ca-5739-8fe4-7e6d83e2c71d,Wearable Computers
b62f4b06-e896-59a6-9d3e-e61d72dfcf6e,Markup Languages
c4872a6b-9cc2-59aa-b0d4-41dbcaf7956e,International Studies
137fa641-c57f-5039-bb60-1b9fd520cde2,Collaboration
1e9919fc-11a2-5b0e-b825-61ea935b7ad5,Web 
4fd57a32-1b43-5a8f-af25-7e9ec44ddd5d,XML
0ad33aeb-8c77-596c-b719-e73576ea5bcb,SQL
a8a3094f-c8ea-5ea4-a5c9-7a46f1f99a28,Signs/Symbols
f03b59e9-c3ec-5fe8-90d4-3b57a6de1c80,Computing Systems
376315e5-2c6d-5f0e-a642-77e1c3f1662d,Pictorial Symbols
3deb657a-a241-5b25-9f10-b6a666190db7,Machine Learning
f6e730cb-e6ec-5991-9c82-65a0bc25b4d1,Empirical Evaluation
eef9f0d4-ca97-5d31-a8da-94b11eafea66,Adaptive Systems
c467bc5a-84e3-50ed-90a8-d45608f5b023,Contracts
1e4deb7d-1e5a-5e59-a884-1c2070ad1652,Universal Access
7482b461-c034-524a-aa4e-c7f8f4a28ce0,Industrial Engineering
5d11290f-cca7-5d9b-9940-2b92238bd626,Medical Informatics
5cc1c3e8-55d5-57ab-a3b8-d888f8ab85bd,Special Education
84866137-8a7a-5e1e-b1bf-a8e468bd56d0,Game-Based learning
068a5871-9c5c-56cf-ad7f-34f4023fe0da,XSLT
c66f9bf3-087d-51dd-86d8-316032780046,Human Communication
535ea99f-391d-5120-bbd6-28ec3629a7e7,Cybernetics
4bfe3362-1c04-5866-a7ea-bf664aee333f,Presentation
a14c474c-fec1-5dd4-a0f5-a852fa4bd6d0,Semantic Web
e4f6f0d3-0bc8-556a-ba22-8f54449e3908,Image Education
1b0012cf-a1c8-5e25-a2f5-a6ae5ef90f67,Design for All
feceaa67-9a3c-50ab-bb2c-b47da93eaafd,Software Design
d4efa598-b10d-5a6c-9dde-ad588f415e8b,Support Systems
2070a6ee-949e-5db8-962f-d6f8bf673c03,ICT
eb0b77b7-7f86-5acf-be2f-91db95a3beb9,Uniquitous Computing
0713729d-f441-51d5-86cb-c1887419df10,Ubiquitous Computing
c9e87c3e-d363-5532-a6a8-cd06f4e64d1a,Numerical simulation
37cb739e-19f9-5739-a94e-a1a127a628e5,Human Engineering
684eab7f-2d4e-515c-a3a1-cfed25a83e6b,System Design
6d96d2e2-0867-5908-930c-f478f9776157,Research
501a5943-7d15-5c44-a72d-5092934c9e8f,mobile communication
66e95511-40b2-540a-b377-1ed6a95d8d57,C++
f466706c-3744-5510-8e0c-52de8b16fbbf,C#
bfffc81b-3a11-51a6-8fff-853f5b27396f,Inclusive design
c9635826-e5f4-5f77-824b-146a2a2b32c7,cross-media publishing
0ae1d5a6-5dfc-5133-9c9b-734496502729,service delivery
a3185cee-83d6-59e2-ad6d-64119f371e26,Socio-Ecocomic Issues
2b7b9b80-efb8-5c53-89a5-4f5674fbfabc,Information design
21e36a92-d8a7-584d-8c66-14b8e16d2721,Environment
c637458a-7116-5afc-ab53-d4839fbb7495,Assessment
3fc6e0ba-d81f-5920-a114-78373c9774d0,Mobile Devices and Services
b5784970-d083-5060-98a7-9646e2664008,Web Servers
e4820a6c-5d3d-5130-991d-f8f5d5b23bc2,Networking
9253ca44-1aa2-5521-96ca-6a1eb27ace99,Employment
0763578f-859d-511a-b7aa-00edbe0f3e0a,eGovernment
90217d9d-acba-5b41-aba3-2f453378505b,Social Inclusion
6ddeda13-753d-5c99-be97-94293b1ddbae,Culture
93225a37-4972-5f27-8cfa-908b3aed78de,Social Exclusion
faec0578-483e-5124-9022-1d93cb646665,Visualisation
7586d017-bd56-57a3-acc0-f29bd9102bc9,Reasoning
df0a0f6a-94cc-5ed2-996e-7bd62bad58a2,Disability and computers
456a8ecd-d3ea-5704-a50c-db0301eb4d47,eAccessibility
634500cb-0888-5a30-9f86-886d346f1c91,eInfrastructure
257a6362-3984-54b7-b77f-89c73ca1cf6e,Interfaces
37b134c5-9cac-522b-90de-80a6ce321a98,Optoelectronics
de3d0152-f2fd-5a3b-a7db-40abbaac71b7,Circuits
acadccdf-5b6f-5a21-8065-3386ceee01da,eAdoption
d4597737-1dbe-5212-841c-781aeb01efeb,Knowledge Economy
fcf70525-ca8e-554f-b933-7aceb4d92c45,Feedback and control systems
efe3c8f0-ce34-5bf2-8a41-b2130c234313,Mental retardation
1e610424-8acf-5371-a771-3b26f1be43ca,Workshops
1accfede-8de2-5f69-ab89-a49f4840e9b8,Market Analysis
009996e3-d3f7-5013-8161-c8bd09a419f3,Video Games
e581b3ff-4d01-5685-b140-a4e6478c8392,Cost
d5a89ad2-cbff-57ce-bdf8-f9ac90bd16e0,New Technologies
02b0461d-368c-525c-821a-eae2262b408c,Games
35a57c19-ad34-5025-8cfb-4e84c236fc98,Visual disability
c672f628-2ddb-5b2a-b56d-fbc1042a6098,Ambient Intelligence
8ff0e274-c3ad-53a8-87ec-db27619e594e,Mobility impairments
7d5cbb5a-56e4-53b1-b601-c229c07b8623,Security
aefbb6eb-8fc9-5b01-813d-c36084a36199,programme design
188d3b7f-1403-5bbf-92c2-a8499fab1c68,impact assessment
c548312d-9b80-57c4-95e3-417987ca8682,transnational cooperation
9b2b54e8-3d91-5e89-b0a8-7a0edd30d457,portals
09887457-1771-590d-918a-cd93c30db90d,taxonomies
2665b3b2-ef89-5581-81f8-ec46cb704b08,Graphics design
897b0b73-6f85-59a0-9e10-32ea02b960e0,e-Inclusion
affaf392-413c-55d8-8d94-d7e709e93f38,Internationalization
47e2b656-f708-50ec-b354-f2b33a9e625a,Management Information
15f1d835-5642-54da-825b-505a73d78671,Computer Work
fa7f4fa3-de15-5369-b7dc-aacb87e84f98,Applications/Services
7cdae782-0a38-5275-9932-ea4e9669dda2,Multimodal Environments
0b975a67-4453-5a18-a6e0-5bf6c4e32545,Interaction Design
890baf06-23b0-5584-9cbd-c7adf477529c,Online Communities
40f74e34-ae13-5d4c-b331-cd8f1f90a461,Social Computing
5a2ca56c-5d37-5abc-93b2-580ade0dfd09,Human Modeling
7af2e68a-faae-5435-b0f3-0258f76c5dbf,Augmented Cognition
102ea66c-b9e7-576b-931c-00e652723e7d,Engineering Psychology
9b52503d-5f6d-5bf6-bb54-626e73af89ed,INTUITION
8aeea280-94af-588b-9a5b-c83b0f0794b4,Knowledge Capture
b88d293f-04de-5269-896e-dbc4c9ad1568,Pervasive Computing
5631f758-9803-5944-8b66-9d6060a02e27,Functionality
1332856c-b10f-5e62-928f-df4e578ece0b,Software Visualization
8879e5bb-a974-5b05-b47c-dc1a4c1d7964,Web accessibility
af80a81d-f18d-500b-a868-6b252e6ceb10,Χωροταξία - Περιβάλλον
3d067ce4-6bfc-5df3-b617-1ea7f1ec48f6,wireless networks
0f6ed482-c986-5119-a8b3-dd71e1f3e588,peer-to-peer computing
08505728-45be-50d9-abe7-f6fafe7f2432,Informaton & Communication
b2e03438-43c2-5d71-80fd-76f9b8108bc2,elderly
875ba36e-06e0-580c-8f51-d72ea8d8601f,services
d3e0ad28-d7ae-52cd-89ec-4ddba4d9b55e,service engineering
ad15e4ad-b90a-5e33-8b2a-5ee74fb08835,Design Engineering
8d95962a-df90-528b-9413-faf2890f698b,Human Interface
e8c48f99-f383-501c-9cfc-d4608b8755e3,Information Management
b9b24fd7-0729-564a-9219-45b72c7300cc,Communications in Computer and Information Science
1be9692c-0de8-5ac4-a145-76775f80338b,Υπολογιστική γεωμετρία
d365d955-79f8-53fa-9366-f919799edc39,Θεωρία υπολογισμού
d8cdd6ba-33b6-531e-95ec-372b22d10229,Μαθηματική Λογική
b4a90c61-f03c-58ab-8dbe-4e3952041c30,Augmented Communication
a100aede-8289-50a0-b6a9-9f29bf1396d9,software
e4ee5690-7742-511d-a2ca-d5f01fea0d5c,philosophy
a290c632-e466-55cd-bf6f-8221b2087f99,resilient systems
3293e187-4b66-5194-bcc0-4071e1e6d42a,Computer entertainment
863d8176-19fc-519d-9413-a01d5ccd9bec,business process management
d3d95a94-162b-576c-9cc8-2650a9a2aafa,Industry
0581a2c6-4927-592e-80fd-695805dc4355,Lecture Notes in Business Information Processing
6de4db68-b1a6-51e5-a454-b8f7e2eeebeb,Embedded Systems
5f4b7388-0259-5ebf-ac3c-0b8607a4b193,eLearning
9a7d36ed-91bd-50c9-8ecd-57071a31f838,Universal Design
7f1c008e-4a6f-598e-a7de-74760b0f9e23,cross-cultural design
5f62a287-7162-5b8c-b1b4-0761cdb62d8b,Ambient environments
28218695-10b4-5876-a376-90f41685e164,Social Media
5c8565a6-321f-5202-96d6-d66ef86b89e3,HCI International
f9d9f91e-d580-587c-bc8d-f131a90521ef,Learning Technologies
4a45a8c1-4fe9-588f-a784-15d8bef16723,haptic systems
2603740c-6c50-53a3-a14e-8e57d9815684,Multisensors
94cd5d05-4009-56c6-abc5-a53054554249,Entertainment media
f024686e-c19d-58a5-9d7e-f52c668da063,Augmented reality
987f9312-f2be-50b9-a18a-cbe3fc70a163,writing
632bd038-e1da-567d-aa3f-fa184d541202,thesis
82543b5d-8d49-5287-ab33-c868a68ff412,Springer Series on Cultural Computing
794476db-25ae-5696-99a6-931b707ba8fa,Music
8b0eaab6-d825-5a11-ac69-2054dc2697e2,Physiological computing
c464f816-d623-5e9c-9f75-dea34396d974,Semantic Models
28a8f8d3-6bd9-502c-8cd0-5554f4db049b,Eye-tracking technologies
9d535174-cf50-578c-b752-c5b01e0b3283,Intelligent User Interfaces
25e8ac9f-fb97-5e65-ad16-1a9ddc9e405c,Semantic Acquisition Games (SAGs)
90fd24c1-5615-5807-9e03-0435c7854ef2,Metadata
5a93d6a2-33b6-59bb-bbd4-c5c6a814e74c,Computation
8c9d7127-141d-5e27-b30d-cdac5d506c3e,Facebook
215934f6-9d1b-568e-ad83-1ee5e75f8a11,Springer Series on Touch and Haptic Systems
7b3cfcab-8287-574d-8fe7-4a1861f47474,Haptics
2ce14f9d-00ce-5e34-bc49-00b37c843f07,Open Science
9f0e8b31-0138-5fff-aa84-4d2d9bcc8436,Entertainment
1fac30a1-6d0a-553e-81ef-e0f003767996,Hand Gesture Recognition
a14f9b08-9d83-5bca-a958-d1d868d420c5,Simulation
b1273e9b-16da-5d86-8e0d-0eb3aa95cf10,Springer Briefs in Digital Spaces
c3c4ddf5-e7d2-5ffd-be6d-736f729826cf,Springer Briefs in Education
5cb88434-291a-5826-9abd-633d03576644,Springer Briefs in Electrical and Computer Engineering
0859d52d-7907-59f7-b3b0-fc513c977241,Springer Briefs in Applied Sciences and Technology - Polimi Springer Briefs
bf698647-ac11-51bb-b2ee-be7c5e4756d9,Data Analysis
018be4a9-c5e0-55c4-93eb-5e8891691791,Twitter
35a7ffdd-77de-5015-bb2f-9b13170d60f7,Springer Briefs in Computer Science
