"BookID","Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","Origin","Shelf","CopiesNo","FotocopiesNo","Includes"
"47","Data Fusion in Robotics & Machine Intelligence","This book addresses techiques for modeling and integration of data provided by different sensors within robotics and knowledge sources within machine intelligence. ΔΩΡΕΑ ΣΤΗ  ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.","book","Academic Press","1992","0120421208","hardbound","CS","G122","1","0",""
"48","Automata, Languages, and Programming","Proceedings of the 21st International Colloquium, ICALP '94, was held in Jerusalem, Israel, from July 11 to july 14, 1994. It is intented to cover all important areas of theoretical computer science, such as : computability, automata, formal languages.","proceedings","Springer-Verlag Berlin","1994","3540582010","paperback","CS","G123","1","0",""
"49","Mental Models and Human-Computer Interaction 1","This book presents selected papers of the ""6th Interdisciplinary Workshop in Informatics and Psychology"" which was held in Scharding, Austria in June 1987.","proceedings","Elsevier Science Publishers","1990","044488453X","hardbound","CS","G121","1","0",""
"50","Econet Advanced User Guide","This guide deals with features of Econet and its filing system that are not covered in the other Econet user guides. ΔΩΡΕΑ ΣΤΗ ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.","manual","Acorn Computers","1983","","spiral","3Π16","G123","1","0",""
"51","Econet Level 2 File Server User Guide","This guide begins by explaining how you start a session of work on the network, and then takes you through the rules for saving and loading. ΔΩΡΕΑ ΣΤΗ ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.","manual","Acorn Computers","1983","","spiral","3Π16","G123","1","0",""
"52","Speech System User Guide","Introduction to the speech system, using the speech system from BASIC, the sound command in detail, technical information. ΔΩΡΕΑ ΣΤΗ ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.","manual","Acorn Computers","1983","","spiral","CS","G123","1","0",""
"53","The 6502 Second Processor User Guide","This User Guide describes the 6502 second Processor and explains the extended facilities of the BASIC language ROM. ΔΩΡΕΑ ΣΤΗ ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.","manual","Acorn Computers","1984","","spiral","CS","G123","1","0",""
"54","High - Performance C Graphics Programming for Windows","This book covers animation & visualization, includes 3D modeling and image processing.","book","Windcrest Books/McGraw-Hill","1992","0830637907","paperback","CS","G123","1","0",""
"55","Supercharged C++ Graphics","This book gives tools, techniques and programs for creating high-performance graphics applications with Quick C++, Turbo C++ and Zortech C++.","book","Windcrest Books/McGraw-Hill","1991","0830634894","paperback","CS","G123","1","0",""
"56","Knowledge Engineering Vol. 1 Fundamentals","The first volume presents state-of-the-art reviews and tutorials on fundamental aspects of knowledge engineering.","book","McGraw-Hill","1990","0070003556","hardbound","CS","G121","1","0",""
"57","Knowledge Engineering Vol. 2 Applications","The second volume complements the first by presenting applications of applied artificial intelligence (AI).","book","McGraw-Hill","1990","0070003572","hardbound","CS","G121","1","0",""
"58","CHI '94 Conference Proceedings: Human Factors in Computing Systems","CHI'94 proceedings is on Human-Computer Interaction, Boston, Massachusetts USA April 24-28, 1994.","proceedings","ACM Press","1994","0201765578","paperback","CS","G121/G122","2","0",""
"59","Technology and the Future of Work","This book addresses the influence of new technologies on work and the resulting challenges for business organizations.","book","Oxford University Press","1992","0195071719","hardbound","CS","G121","1","0",""
"60","Usability Turning Technologies into Tools","This book collects six essays that herald a fundamental shift in the way industry and researchers think about usability.","book","Oxford University Press","1992","0195075102","hardbound","CS","G122","1","1",""
"61","Research Directions in Concurrent Object-Oriented Programming","This book documents progress-from general concepts to specific descriptions-in programming language design, semantic tools, systems, architectures and applications.","book","MIT Press","1993","0262011395","hardbound","CS","G121","1","0",""
"62","First International Summer School on Advanced Broadband Communications","Lecture Notes, Aveiro Portugar July 11-16, 1993","proceedings","Centro de Estudos de Telecommunicacoes/University of Aveiro","1993","","paperback","CS","box Portugal 93","1","0",""
"63","Meeting Individual Needs","The aim of this book is to help teachers in primary schools to review and develop their thinking and practice in meeting the individual needs of their pupils.","book","A. Wheaton & Co. Ltd. Exeter","1988","1853460338","paperback","CS","G117","1","0",""
"64","Speech Recognition by Machine","This book begins with a description of the nature of speech and its production and perception by human beings. This is followed by a discussion of the problems involved in speech recognition by machines.","book","IEE Peter Peregrinus Ltd","1988","0863411150","spiral","CS","G121","0","1",""
"65","Formal Methods in Databases and Software Engineering","Proceedings of the Workshop on Formal Methods in Databases and software Engineering, Montreal, Canada, 15-16 May 1992","proceedings","Springer-Verlag Berlin","1993","3540198121","paperback","CS","G121","1","0",""
"66","Aldus PhotoStyler","This package of manuals includes the books: Aldus PhotoStyler, Scan Module, ScanMarker II and diskettes.","manual","Aldus Corporation","1992","1560261110","paperback","3Π46","G120A","1","0",""
"67","Designing Intelligent Systems: An Introduction","This book is an introduction to the design principles of intelligent systems.","book","Kogan Page","1984","0850388600","hardbound","CS","G123","1","0",""
