old_topic_id,old_topic_name,new_book_topic_id,source_db
181,Voice Processing,c33b755b-23e0-436d-8873-7f80f2f15d9d,db1
182,TIDE/COST,0a153324-c9be-4a28-a8f9-5971e112b72c,db1
184,SAS Software,439b35a0-e265-49e7-aa39-923591883991,db1
185,WorldToolKit for Windows,2e9eb3ef-4c84-429b-96ec-9d92a6794f91,db1
187,Speech Recognition Systems,9561c627-1ca8-4a52-8de3-09738ff2df46,db1
189,XENIX,190b12be-7ac2-4e9a-a0fe-d2a0358418de,db1
190,TIDE/HEART,adf9e0a9-9c7a-400d-b6d9-030af6051044,db1
191,WordPerfect,4b92abda-a2af-46fa-bc0e-feb434b7d438,db1
196,Programming Languages,07c5ffb9-46c3-497f-9a3d-f30dd91a015b,db1
197,Knowledge Representation,f04382bd-b91c-4245-b26b-142a26eaf9ab,db1
199,Focus Groups,1112fe4e-0183-4eb9-8e52-5851643d2710,db1
201,Digital Libraries,971e24a7-8951-429c-bda8-b48328e36dd2,db1
203,Software Evaluation,fe7bdf5d-871b-45ad-b343-916ff243418e,db1
207,Computer Supported Cooperative Work,34ae6bf4-dc65-444d-938b-a908897142e5,db1
208,Microprocessors,f1c83b1f-59ba-4766-8329-41626fa34d24,db1
210,Electronic Commerce,7a484430-8f2e-4409-b287-cc30b2ff47a0,db1
213,Software Reuse,fc638ac5-8886-4ec0-b871-19e11149784a,db1
216,Internet,f04942d6-5f4b-4641-a955-412d33e5e385,db1
218,Audio-Visual,2afc2422-4c90-4b08-aa37-86f9e1939025,db1
221,Speech Reading,ba7b72db-1dd5-4263-a8d0-094bdc383d0e,db1
226,Information Society,ba587ffb-92ea-4bc7-a6a7-f7b591ae3ac0,db1
230,Software Quality Management,57b3e580-dc71-4fa2-82fb-0b15595e863b,db1
237,Quality Control,58ee010b-eb9d-4ae0-a4ab-43a062c6001a,db1
238,Standards,22391844-9c6b-4d95-8834-e46285ab4e25,db1
240,Dynamical Systems,3e9643af-cb3a-43d2-aee9-e289a3f3e319,db1
249,Basic,f89ad17c-ee29-4fe4-a32a-8e8fd99d983d,db1
250,Multimedia Programming,d17c1a87-a090-4a09-9fc9-fe3e8451d4dd,db1
251,Work Groups,a4dc9079-997f-4582-a735-0233e801d5e9,db1
252,Scriptwriting,40b10218-930d-4891-9927-ac42d51d7199,db1
253,Metaphors,20754803-d010-4904-a15d-1e35e232ec83,db1
254,Groupware,e3a5324c-13ab-4cff-9c65-96aafc9c9b8e,db1
255,Agents,47829365-f389-4471-b9b8-5735a0661c3e,db1
257,Lecture Notes in Artificial Intelligence,968d437c-778d-4e18-a3d1-fb37de1f1f5d,db1
258,Computer-Biographies,6b3a7f6c-b2eb-4dce-a7a5-4539a1c5d6a7,db1
259,Geometry,fe535f93-53e2-470c-8e4d-7aeb218f9f84,db1
261,UNIX Programming,e9a29b2c-d168-4cab-925b-f9f473ae2d4b,db1
262,PowerChute Plus,0c94efdb-051f-48f0-a68c-2c1bbe21a63f,db1
264,Norton Utilities,e37b2188-5c81-4ee6-b182-bf9776635cb9,db1
265,Grammatik 5,52549b0a-f4c9-4798-a132-35a737372ae3,db1
266,Autodesk 3D Studio,435cf59e-f0e5-4363-bce7-58551eb5fdac,db1
267,Cyberscpace Developer Kit,d2fabedf-17b0-4c48-bf3e-9e0178a64c2e,db1
268,Turbo Assembler,3eef042a-343a-4f75-b8db-c598d684e92a,db1
269,Turbo Debugger,5e616af3-6618-4e91-86a9-d8babb843d8d,db1
270,Turbo Profiler,8b931925-3c0f-4fa4-a2f3-b0eecb8b0ecb,db1
271,Java,73c29463-5dec-408b-82b6-fe4aef0ee059,db1
272,Internet Programming,eef5861f-654f-4654-88f8-ba0f507d9a42,db1
273,Automated Reasoning,a2ca64e3-ee0c-4053-978d-e4067915f815,db1
275,Business Re-engineering,18a2e7f8-fe83-45ea-978e-f0375e34e542,db1
276,Interactive Systems,383f54d9-77a2-4d66-8a86-7fd1b2db3cff,db1
277,Systems Development,2ae7559c-06d5-4e1c-8666-76b54f773d6c,db1
278,Cryptography,6229e3d3-c666-4178-9682-da59a22ab13e,db1
280,Semiotics,5a28aca3-ca8d-45b6-9b32-8a2632f43eeb,db1
281,Research Reports ESPRIT,5b426e9b-b95b-4e93-87e4-f42227e129e1,db1
282,Speech Technology,3d8b7ce8-7a48-4177-a677-bd6fb40e74b5,db1
284,Document designing,b690c14c-8f9f-4378-bd84-95351df63e26,db1
286,Programming,691650c2-31da-4ac4-856c-0d25497374b0,db1
287,Computer Visualisation,06f28aee-df41-4967-87fb-f4295e76986d,db1
292,Computer Documentation,f0dbe5cd-74d2-48ff-a69f-4fe0843c45d9,db1
293,Algorithms,df0e6812-3323-498e-a1c5-86f97dfb99a7,db1
294,Computers and Civilisation,763ed0e8-d99e-45fd-a387-d0b5e96428aa,db1
295,Juvenile Literature,80369547-509d-4f1d-be3d-7e64a53914f4,db1
296,Information Security,0e74827e-a02e-4907-a75a-5d0feb3b964d,db1
297,Graphic design,1067e7df-7e05-4526-b966-afb1e9c6c888,db1
299,Typography,1a3d1d4a-3404-4bd1-bb37-77f2f0da1f7c,db1
300,Art & Science,da165c33-a293-4381-8d4f-0961fb5196e7,db1
301,Ethical & Social Aspects,5d7d8922-4e9f-4bec-b4d0-e8f032ae1657,db1
302,Information Theory,76adb0a3-ef99-42ae-97d4-7e4be28abde9,db1
303,Data Processing,dbcb2679-57fe-44c4-961d-b14466dfca20,db1
304,Law,0ad5b669-34c8-4ba3-9b4d-1a01fffd23da,db1
305,Distance Learning,cb5997cc-b242-46c6-94d8-b937e1a9f612,db1
306,Sign Language,4a8602f0-33f0-47b8-a58b-14037579107d,db1
307,Computer Animation,f50029fa-feb4-40cf-931e-df58ebf62c4d,db1
308,Bioethics,66b937c7-95af-4fea-97b8-1d2c965db445,db1
309,Endophysics,595d763a-3320-46b0-9dc0-ee96a49189aa,db1
310,Teaching and Learning,b88f9f41-1e40-402c-a134-14ce5fd0732e,db1
311,Computers and Children,0ac58a65-2f92-4f08-ba79-eedac5069f69,db1
312,Research Report,b2c25bea-1fbc-46b2-a374-0a1e3f43b2b2,db1
313,Communication and Technology,2ebdcd4c-e109-45f2-967c-761542932f95,db1
314,Desktop publishing,5dc3fe09-c68d-4114-aa9f-3d3ee36c5f61,db1
315,Business Presentations,92d23a84-9af6-4af7-a206-ddc1fd5afff8,db1
316,Technology,79fefe58-f107-41fc-b129-036322211068,db1
317,Accessibility,1c02ae7b-d660-4c0d-aea0-166f020a4aa3,db1
318,Telemedicine,9a267865-2c91-4cec-8c17-58c453ebdf20,db1
319,Health,b452fd5b-d99f-4f51-aedd-f0b02bb12278,db1
320,Computational Geometry,729622e2-4e1a-42ac-a57c-54c1cab23800,db1
321,Design,af943445-4b27-464f-aa7f-c5cd6350b265,db1
322,PowerPoint,5bedb175-a04d-4bb0-bf2d-29cae3aa9beb,db1
323,Gerontechnology,93eb4fee-2765-4ad5-85ba-726a51b2a6d8,db1
324,Smart Homes,13613549-4802-445b-b765-f6e4bd422f1a,db1
325,Video Telephony,27adee9e-3ca1-4b47-bb3d-3b51ad9d7668,db1
326,Text telephony,67276cf3-b728-4804-8a2b-aac7c12d700c,db1
327,Media,f84e33e7-149f-459e-b0ba-e860688ee6e8,db1
328,Information networks,b2bb7695-b5fb-4863-834d-0d4c6c84e5a1,db1
329,Educational,2d45dfce-44e3-4fc4-ba92-666c439bba71,db1
330,Children's Learning,b9d935c0-e721-42c5-92ff-ad24426f5526,db1
331,Interactive Multimedia,ec9d55d6-1e03-4092-b6c2-f2c6e3783280,db1
332,Art & Electronics,b43c6365-1271-41bb-b5c5-994d8d4c4542,db1
333,Video Techniques,7341dce8-97bf-4121-9d08-b055d28cebdc,db1
334,Activity theory,c9dda63d-c5dc-4c54-864f-05c8a2aca6bf,db1
335,WWW,194faeba-2a46-44b7-a807-f82427d56ab1,db1
336,Benchmarking,5333992f-9f41-4bcf-b921-b6e66a89bb72,db1
337,Teleworking,09dcf92e-e030-446c-ac36-1bb14b96502f,db1
338,Mathematical models,27e3d528-d99f-4a7d-904a-c2f286e34600,db1
339,Guidelines,12ff7c84-8168-46d0-addc-14b214653e70,db1
340,Computer Networks,0647c384-71d8-4234-878f-38a1ca61af6f,db1
341,Graphical User Interfaces,5c5a6a0b-7ffe-459c-9b1c-9ac4774418a4,db1
342,Web Design,fe7cb5d4-4439-43df-853e-82b866dcaec2,db1
343,e-commerce,1fb1467f-56c5-4e7a-ad29-466d649aff09,db1
344,Animation,c91fdceb-c354-4df0-86c6-19c582165009,db1
345,Instructional Systems,de1efed6-a98a-4fe8-b818-9e88232de7d7,db1
346,Decision Making,a03aaed5-70fb-491f-be8e-02311eab2a85,db1
347,Computer-aided design,90f62147-4abb-49bd-a625-ae33a31b688d,db1
348,Task Analysis,4fa36318-3712-48a5-ac30-bb34c9856574,db1
349,Wearable Computers,7939b00a-968e-44b4-9a19-77b2ca6d9b9d,db1
350,Markup Languages,4b88c583-ff2f-4a00-9901-794053fdacb4,db1
351,International Studies,ac8d4ea9-1b45-49a0-b33e-fc9aa802f001,db1
352,Collaboration,7fb137c4-a874-4634-888d-63afd85a19a9,db1
353,Web ,8d526e45-590e-4f2b-a596-3b836461674b,db1
354,XML,cc366422-6a8c-4ab1-b97e-1d0c25ccf101,db1
355,SQL,7fd83fc3-38d8-4c14-99cc-51c9733bd9e5,db1
356,Signs/Symbols,3192f6ff-2abe-4d11-b400-2f709e3b815f,db1
357,Computing Systems,d2670214-4c9f-43d4-9c6f-1763b8d3ca4f,db1
358,Pictorial Symbols,7432684d-fef4-43c1-af4a-f973e7705709,db1
359,Machine Learning,52589d50-f7ee-4c50-8a9c-197e14962d08,db1
360,Empirical Evaluation,0b70f449-d3bd-40f5-b0c8-9a5d5a8c26c8,db1
361,Adaptive Systems,d226ffaf-6bfe-4a93-83a2-47165c375b26,db1
362,Contracts,489fff03-dcf4-4a47-af22-263923ece0f3,db1
363,Universal Access,30fbe910-a54b-4087-9ba1-736d2c48719d,db1
364,Industrial Engineering,7a33c0ba-c633-4782-b177-b30a697187df,db1
365,Medical Informatics,0a8409f5-3077-4880-924b-fba36d3a806f,db1
366,Special Education,ca187b79-5da9-4474-8562-098800c7429f,db1
367,Game-Based learning,a46e993c-698e-4285-997f-d3fa5a78882b,db1
368,XSLT,3a0a1cbb-3424-4773-9868-1f25cdc19163,db1
369,Human Communication,1bd619a2-9da7-47b3-aee3-456c170953d0,db1
370,Cybernetics,cdd68962-dbca-4df4-81f6-d0f1ff832589,db1
371,Presentation,083797a9-4c77-4267-83fd-9f887def7d74,db1
372,Semantic Web,bb01b81f-9b2e-4429-bda6-a018fe4e04bf,db1
373,Image Education,82eba79d-82cf-4f44-bd88-99746851db9e,db1
374,Design for All,2b983dd2-3a5a-4713-9182-55fb1ad5de27,db1
375,Software Design,79024920-53ab-4cae-9bd0-114192ab05f5,db1
376,Support Systems,77dba204-2042-495b-b600-57331ce0f16a,db1
377,ICT,c47c2569-a69f-4242-a558-cd52f6ba1b5d,db1
378,Uniquitous Computing,ccd059a5-a997-428e-9543-24a5f130df45,db1
379,Ubiquitous Computing,064afceb-8a40-4e63-bbd1-fa0a7bb88af7,db1
380,Numerical simulation,28d9d539-151f-4eee-8d57-5d1d917c7912,db1
381,Human Engineering,519846e3-d77f-410b-9ea0-bf1f3006a823,db1
382,System Design,32d77591-75a9-4ff0-ab16-3c493e480773,db1
383,Research,58f900b5-492c-437f-bb03-125673ff3ded,db1
384,mobile communication,e88215ca-f9c1-4528-a90c-3ef3d99dee80,db1
385,C++,f388c2ab-715e-4afd-a1ea-6c79955c4bc3,db1
386,C#,c8deb412-e654-4fb1-a39e-772cdb65b530,db1
388,Inclusive design,8864ffef-c119-49f1-9939-c5b3dbd72822,db1
389,cross-media publishing,dcc77308-138a-4d98-b0e8-edcacaa4b643,db1
390,service delivery,a7b08b46-c996-475a-98a5-0ebcb3ac6030,db1
391,Socio-Ecocomic Issues,8467ca2b-3a09-44ed-bcc5-6f87b8d8e8b6,db1
392,Information design,4427eb40-90c9-4af9-b74b-28037996739e,db1
393,Environment,79d3293c-ea87-408d-b017-dfef9abf1c74,db1
394,Assessment,01294746-83f6-4e8c-b4bb-cb52a92aae07,db1
395,Mobile Devices and Services,b5cfcbdb-06ec-46f1-91c7-daa17c23cc19,db1
396,Web Servers,d0bec3c7-ac6e-4503-a0e8-e1084a8c6d09,db1
397,Networking,5f5dac9f-f39b-489e-b685-b309a25ddde7,db1
398,Employment,cb118b45-4bbe-48d4-a8a3-09c6bcd9431f,db1
399,eGovernment,0787b90f-bc52-4c10-964d-2fb5f44a29b0,db1
400,Social Inclusion,3f2b2bfa-0663-476d-a91c-be611992a562,db1
401,Culture,8f8ed4bb-70aa-443c-be34-d1b841d1a3f9,db1
402,Social Exclusion,bfa3e784-d43f-43e9-bf5a-a2829183c385,db1
403,Visualisation,233083b5-b0e7-4da3-97ef-0d094b1ddc1b,db1
404,Reasoning,13cfd5f4-3e64-49ac-86cf-764a5bbf4e89,db1
405,Disability and computers,4d75663a-f658-4c27-a6c7-e9758f207c21,db1
406,eAccessibility,101464d9-988d-433b-a93d-7f03b68349e6,db1
407,eInfrastructure,ec3c4b45-2269-46e3-bcb8-a5fc4a05600e,db1
408,Interfaces,f078d867-9396-4d7d-bc30-2388293942a8,db1
409,Optoelectronics,4383c92b-70d6-4313-8dd1-5692bd5ab592,db1
410,Circuits,b72e96c3-9c3a-4353-bea6-605d89c0da74,db1
411,eAdoption,ca8ec765-3f29-4492-94f2-6439b49ffef1,db1
412,Knowledge Economy,54fec892-97a0-4461-b162-45a94abd336b,db1
413,Feedback and control systems,13f01414-662e-420b-8829-561939f7185d,db1
414,Mental retardation,90da8247-e209-4dff-9dfb-cde699e80f6c,db1
415,Workshops,07050d14-a1a2-407a-9b25-7ba948e27e1c,db1
416,Market Analysis,5f46f14f-b0b2-4c52-b122-1492e768331c,db1
417,Video Games,555bab6d-631f-4c59-960e-7e0932e6f31a,db1
418,Cost,81f68557-fdff-498c-9d4b-f793a6b909ae,db1
419,New Technologies,a5672ebc-cd39-4d04-8c87-ecfb484991a4,db1
420,Games,0bb00d55-a19f-4f58-ac65-22fc209ee644,db1
421,Visual disability,18bb10a6-9d5b-475e-a406-49a0f6f4f5ac,db1
422,Ambient Intelligence,92a384c4-255b-48ad-a149-202c55a06469,db1
423,Mobility impairments,d58727f7-4ddf-4fc9-b5cc-74c59a978085,db1
424,Security,4071c38d-f06f-40bd-9d40-dd94bb24b6a2,db1
425,programme design,7acbc5ff-b843-467b-858e-57b7671556a7,db1
426,impact assessment,4698446a-26a1-4fec-941a-d09700b665f8,db1
427,transnational cooperation,81d18698-c936-4010-8cd3-4a310b711fde,db1
428,portals,8debadd6-33e2-4ac8-8e0d-ea25d3b4b044,db1
429,taxonomies,8995f356-6d7b-4816-bbf9-5ece58b38291,db1
430,Graphics design,732dc3ba-6eff-483b-b230-af6f8c0ea8c9,db1
431,e-Inclusion,809a278e-2988-43a1-bf10-1e55c45f6dca,db1
432,Internationalization,7eb3e9e0-3a88-467d-a770-4b9f6b15ef53,db1
433,Management Information,6863cdae-84be-41e2-a24c-4c8ce061d31b,db1
434,Computer Work,3d352d3b-45e1-464b-8285-7e5ed1e5ec1a,db1
435,Applications/Services,f8f881c7-caf1-4cea-8173-d095ae6fde66,db1
436,Multimodal Environments,0de6b38f-0b19-4f33-a2df-885291e8bce2,db1
437,Interaction Design,8093351e-5e52-4736-9128-fa461a217f52,db1
438,Online Communities,9d921ec9-e491-49c8-a2b5-f8a718a6b857,db1
439,Social Computing,100966a7-add2-43b1-8f1c-7134ebaa79a6,db1
440,Human Modeling,25a9930a-d092-4b17-982e-814ece91066e,db1
441,Augmented Cognition,dcc502cc-8e42-401a-885e-4cf61111d6f4,db1
442,Engineering Psychology,13661e87-922d-4c71-be47-cc658cbc3496,db1
443,INTUITION,90cde37d-07cd-401b-ba9f-5a9767b91072,db1
444,Knowledge Capture,d4dd70bb-e43d-40f9-a659-1bf7a04ecdf7,db1
445,Pervasive Computing,fd9cca93-9844-49b0-8790-3e5e287cfd1c,db1
446,Functionality,df6569bb-f621-40b0-b986-da397db4ccf7,db1
447,Software Visualization,b3833de3-0bee-42ee-8426-87e1705dad6e,db1
448,Web accessibility,9665fb38-2b04-4edb-afd3-d612bb25e94e,db1
449,Χωροταξία - Περιβάλλον,5decab8c-b0b6-4f2c-8444-cd29db9be076,db1
450,wireless networks,d3c6ad28-fe0f-4e8f-b070-a2295119191b,db1
451,peer-to-peer computing,cbde2507-e11e-4f4c-b28e-bd8691dd9fe0,db1
452,Informaton & Communication,62a60fb4-f2b2-449a-9fa0-a063a695199d,db1
453,elderly,bd289e45-38ea-4342-9a8e-11f75a491b82,db1
454,services,3f212d83-16c2-4ee7-8549-4d810762198c,db1
455,service engineering,762611d0-cc23-47f2-98dd-600f697cfa46,db1
456,Design Engineering,6959b57a-abb2-414c-90d6-0aedee463b44,db1
457,Human Interface,071c6be0-6c95-422e-8e2f-f94ae04c1037,db1
458,Information Management,63b6bc46-1fb0-4f8b-a5e4-4d8a891252cd,db1
