BookID,BookTopicID,TopicID
220,2451,90
221,2452,42
222,2453,89
223,2454,5
224,2455,10
225,2456,15
226,2457,5
227,2458,42
228,2459,14
229,2460,7
230,2461,29
231,2462,10
232,2463,42
233,2464,26
234,2465,93
235,2466,93
236,2467,93
237,2468,93
238,2469,93
239,2470,93
240,2471,93
241,2472,93
242,2473,93
243,2474,93
244,2475,93
245,2476,93
246,2477,93
247,2478,93
248,2479,93
249,2480,93
250,2481,93
251,2482,93
252,2483,94
253,2484,93
254,2485,93
255,2486,93
256,2487,93
257,2488,93
258,2489,94
259,2490,94
260,2491,94
261,2492,94
262,2493,93
263,2494,93
264,2495,93
265,2496,95
266,2497,96
267,2498,97
268,2499,97
269,2500,97
270,2501,97
271,2502,94
272,2503,94
273,2504,94
274,2505,94
275,2506,94
276,2507,94
277,2508,94
278,2509,94
279,2510,94
280,2511,94
281,2512,94
282,2513,94
283,2514,94
284,2515,94
285,2516,97
286,2517,97
287,2518,97
288,2519,97
289,2520,97
290,2521,97
291,2522,97
292,2523,97
293,2524,97
294,2525,97
295,2526,98
296,2527,94
297,2528,96
298,2529,96
299,2530,268
300,2531,268
301,2532,268
302,2533,268
303,2534,268
304,2535,96
305,2536,96
306,2537,96
307,2538,96
308,2539,269
309,2540,269
310,2541,270
311,2542,270
312,2543,96
313,2544,100
314,2545,100
315,2546,100
316,2547,22
317,2548,12
318,2549,140
319,2550,101
320,2551,92
321,2552,207
322,2553,9
323,2554,25
324,2555,197
325,2556,103
326,2557,42
327,2558,22
328,2559,14
329,2560,14
330,2561,104
331,2562,34
332,2563,34
333,2564,34
334,2565,14
335,2566,89
337,2568,78
338,2569,14
339,2570,116
340,2571,116
341,2572,116
342,2573,63
343,2574,148
344,2575,42
345,2576,92
346,2577,75
347,2578,15
348,2579,7
349,2580,107
350,2581,80
351,2582,72
352,2583,14
353,2584,29
354,2585,108
355,2586,59
356,2587,10
357,2588,10
358,2589,10
359,2590,15
360,2591,257
361,2592,86
362,2593,110
363,2594,110
364,2595,14
365,2596,14
366,2597,68
367,2598,23
368,2599,10
369,2600,14
370,2601,14
371,2602,14
372,2603,14
373,2604,7
374,2605,89
375,2606,113
376,2607,113
377,2608,22
378,2609,26
379,2610,49
380,2611,112
381,2612,26
382,2613,113
383,2614,114
384,2615,42
385,2616,58
386,2617,58
387,2618,10
388,2619,78
389,2620,7
390,2621,7
391,2622,42
392,2623,53
393,2624,116
394,2625,22
395,2626,26
396,2627,63
397,2628,10
398,2629,22
399,2630,10
400,2631,10
401,2632,10
402,2633,26
403,2634,30
404,2635,15
405,2636,8
406,2637,29
407,2638,89
408,2639,89
409,2640,53
410,2641,81
411,2642,117
413,2644,9
414,2645,9
415,2646,53
416,2647,42
417,2648,77
418,2649,76
419,2650,76
420,2651,5
421,2652,22
422,2653,76
423,2654,72
424,2655,104
425,2656,80
426,2657,40
427,2658,5
428,2659,5
429,2660,196
430,2661,34
431,2662,108
432,2663,71
433,2664,75
434,2665,61
435,2666,143
436,2667,15
437,2668,42
438,2669,42
439,2670,10
441,2671,92
442,2672,80
443,2673,80
444,2674,80
445,2675,80
446,2676,22
447,2677,24
448,2678,42
449,2679,119
450,2680,208
451,2681,119
453,2683,58
454,2684,116
455,2685,31
456,2686,34
457,2687,15
458,2688,12
459,2689,10
460,2690,24
461,2691,27
462,2692,122
463,2693,122
464,2694,10
465,2695,25
466,2696,89
467,2697,36
468,2698,42
469,2699,72
470,2700,46
471,2701,48
472,2702,48
