BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
2620,672,2004-10-25 00:00:00.0,111,,copy
2621,673,2004-10-25 00:00:00.0,111,,copy
2622,674,2004-10-25 00:00:00.0,111,,copy
1794,675,2004-10-25 00:00:00.0,111,,copy
833,676,2004-10-25 00:00:00.0,111,,copy
3476,677,2004-10-25 00:00:00.0,111,,copy
1254,678,2004-10-25 00:00:00.0,111,,copy
2186,679,2004-10-25 00:00:00.0,111,,copy
1378,680,2004-10-25 00:00:00.0,111,,copy
1028,681,2004-10-25 00:00:00.0,111,,copy
778,682,2004-10-25 00:00:00.0,111,,copy
3477,683,2004-10-25 00:00:00.0,111,,copy
973,684,2004-10-25 00:00:00.0,111,,copy
2069,685,2004-10-25 00:00:00.0,111,,copy
873,686,2004-10-25 00:00:00.0,111,,copy
84,687,2004-10-25 00:00:00.0,111,,copy
2776,688,2004-10-25 00:00:00.0,111,,copy
903,689,2004-10-25 00:00:00.0,111,,copy
2420,690,2004-10-25 00:00:00.0,111,,copy
3478,691,2004-10-27 00:00:00.0,111,,copy
3480,692,2004-10-27 00:00:00.0,111,,copy
3479,693,2004-10-27 00:00:00.0,111,,copy
3481,694,2004-11-01 00:00:00.0,23,,copy
3482,695,2004-11-01 00:00:00.0,23,,copy
3317,702,2004-11-17 00:00:00.0,73,,copy
3485,706,2004-11-30 00:00:00.0,11,,copy
3486,719,,111,,
1388,720,2005-01-17 00:00:00.0,111,,copy
3486,721,2005-01-17 00:00:00.0,111,,copy
1389,722,2005-01-17 00:00:00.0,111,,copy
1390,723,2005-01-17 00:00:00.0,111,,copy
1391,724,2005-01-17 00:00:00.0,111,,copy
1392,725,2005-01-17 00:00:00.0,111,,copy
1423,726,2005-01-17 00:00:00.0,111,,copy
1424,727,2005-01-17 00:00:00.0,111,,copy
1425,728,2005-01-17 00:00:00.0,111,,copy
1426,729,2005-01-17 00:00:00.0,111,,copy
1427,730,2005-01-17 00:00:00.0,111,,copy
1428,731,2005-01-17 00:00:00.0,111,,copy
304,732,2005-01-17 00:00:00.0,111,,copy
314,733,2005-01-17 00:00:00.0,111,,copy
315,734,2005-01-17 00:00:00.0,111,,copy
2123,735,2005-01-17 00:00:00.0,111,,copy
2124,736,2005-01-17 00:00:00.0,111,,copy
2158,737,2005-01-17 00:00:00.0,111,,copy
2159,738,2005-01-17 00:00:00.0,111,,copy
2080,739,2005-01-17 00:00:00.0,111,,copy
91,740,2005-01-18 00:00:00.0,111,,copy
92,741,2005-01-18 00:00:00.0,111,,copy
93,742,2005-01-18 00:00:00.0,111,,copy
94,743,2005-01-18 00:00:00.0,111,,copy
2492,744,2005-01-18 00:00:00.0,111,,copy
2515,745,2005-01-18 00:00:00.0,111,,copy
