BookID,Category,CopiesNo,CoverType,FotocopiesNo,ISBN,Includes,Origin,PublicationYear,Publisher,Shelf,Theme,Title
55,book,1,paperback,0,0830634894,,cs,1991,windcrest books/mcgraw-hill,g123,"this book gives tools, techniques and programs for creating high-performance graphics applications with quick c++, turbo c++ and zortech c++.",supercharged c++ graphics
56,book,1,hardbound,0,0070003556,,cs,1990,mcgraw-hill,g121,the first volume presents state-of-the-art reviews and tutorials on fundamental aspects of knowledge engineering.,knowledge engineering vol. 1 fundamentals
57,book,1,hardbound,0,0070003572,,cs,1990,mcgraw-hill,g121,the second volume complements the first by presenting applications of applied artificial intelligence (ai).,knowledge engineering vol. 2 applications
58,proceedings,2,paperback,0,0201765578,,cs,1994,acm press,g121/g122,"chi'94 proceedings is on human-computer interaction, boston, massachusetts usa april 24-28, 1994.",chi '94 conference proceedings: human factors in computing systems
59,book,1,hardbound,0,0195071719,,cs,1992,oxford university press,g121,this book addresses the influence of new technologies on work and the resulting challenges for business organizations.,technology and the future of work
60,book,1,hardbound,1,0195075102,,cs,1992,oxford university press,g122,this book collects six essays that herald a fundamental shift in the way industry and researchers think about usability.,usability turning technologies into tools
61,book,1,hardbound,0,0262011395,,cs,1993,mit press,g121,"this book documents progress-from general concepts to specific descriptions-in programming language design, semantic tools, systems, architectures and applications.",research directions in concurrent object-oriented programming
62,proceedings,1,paperback,0,,,cs,1993,centro de estudos de telecommunicacoes/university of aveiro,box portugal 93,"lecture notes, aveiro portugar july 11-16, 1993",first international summer school on advanced broadband communications
63,book,1,paperback,0,1853460338,,cs,1988,a. wheaton & co. ltd. exeter,g117,the aim of this book is to help teachers in primary schools to review and develop their thinking and practice in meeting the individual needs of their pupils.,meeting individual needs
64,book,0,spiral,1,0863411150,,cs,1988,iee peter peregrinus ltd,g121,this book begins with a description of the nature of speech and its production and perception by human beings. this is followed by a discussion of the problems involved in speech recognition by machines.,speech recognition by machine
65,proceedings,1,paperback,0,3540198121,,cs,1993,springer-verlag berlin,g121,"proceedings of the workshop on formal methods in databases and software engineering, montreal, canada, 15-16 may 1992",formal methods in databases and software engineering
66,manual,1,paperback,0,1560261110,,3π46,1992,aldus corporation,g120a,"this package of manuals includes the books: aldus photostyler, scan module, scanmarker ii and diskettes.",aldus photostyler
67,book,1,hardbound,0,0850388600,,cs,1984,kogan page,g123,this book is an introduction to the design principles of intelligent systems.,designing intelligent systems: an introduction
68,book,1,hardbound,0,0946536473,,3π13,1989,north oxford academic phblishers,g123,"this book meets the urgent need for a text that explains what neural computing is ""all about"" and sets the recent explosion of interest and activity in the area in its historical context.",neural computing architectures the design of brain-like machines
69,book,1,hardbound,0,0850387418,,cs,1983,kogan page ltd,g122,"this book considers the posibilities of breaking away from the kind of preprogrammed intelligence upon which computers rely, and of devising machines which are a model of the logical structure of the brain.",reinventing man the robot becomes reality
70,report,1,paperback,0,,,cs,1992,,g123,"this seminar was held for one day on the 16th june 1992 in dublin ireland. the seminar covered the following: the role of cost projects, currently identified telecommunications access problems.",cost 219 seminar access to control systems
71,proceedings,1,paperback,0,,,cs,1995,university of huddersfield,,1. demonstrations 2. short papers-hand and eye 3. short papers-novel design issues 4. short papers-hci design issues 5. usability issues,hci'95 people & computers adjunct proceedings
72,book,1,hardbound,0,0805303308,,3π16,1987,benjamin/cummings publishing company,g123,the book is intended both as a textbook and as a general reference for researchers in artificial intelligence and other areas related to language.,natural language understanding
73,lecture notes,0,spiral,1,,,cs,,ελκεπα,g121,"1. human machine interaction 2. historical perspectives 3. user psychology 4. specifying the interface 5. dialogue styles: menus, forms, commands.",ergonomics course - human-computer dialogues
74,manual,1,paperback,0,660850795,,rti lab.,1995,microsoft corporation,g122,introducing microsoft office. install and start microsoft office. get assistance while you work. about creating and opening documents and databases.,getting results with microsoft office for windows 95
75,book,1,hardbound,0,0262011263,,cs/e,1992,mit press,g123,this book presents the theoretical and engineering advances embodied in one of the most comprehensive natural language processing systems designed to date.,the core language engine
76,proceedings,1,paperback,0,,,cs,1987,commission of the european communities/comac bme,group-lib,"proceedings of the topical workshop held in enschede, the netherlands concerning functional electrical stimulation.",restoration of walking aided by functional electrical stimulation
77,proceedings,1,paperback,0,0521466334,,cs,1993,british informatics society  ltd,g121,"proceedings of the hci'93 conference, 7-10 september 1993 loughborough university of technology, uk",people and computers viii
78,book,1,paperback,0,1556152825,,cs,1990,apple computer,g123,"this book looks at the impact of multimedia tools, especially hypercard, on the development of education materials.",learning with interactive multimedia developing and using multimedia tools in education
79,proceedings,1,paperback,0,0262510715,,cs,1993,aaai press/mit press,g121,"this volume contains accepted papers that describe significant contributions to all aspects of ai, including the principles underlying cognition, perception, and action in humans and machines.","aaai'93 proceedings of the eleventh national conference on artificial intelligence july 11-6 1993, w"
80,directory,1,paperback,0,,,cs,1995,aaai press,g122,the societies: american association for artificial intelligence/ acm special interest group in artificial intelligence (sigart)/ canadian society for computational studies of intelligence/ fellows/ members,the ai directory 1995-1996
81,book,1,paperback,0,0912704950,,cs,1985,american psychological association,g117,i. technical standards for test construction and evaluation ii. professional standards for test use iii. standards for particular applications iv. standards for administrative procedures,standards for educational and psychological testing
82,manual,1,paperback,0,9911009,,rti lab.,1991,american power conversion,race-lib,manual for powerchute plus installation.,powerchute plus for unix
83,report,1,paperback,0,3540520589,,cs,1989,springer-verlag berlin,,"this report includes defining requirements and building blocks, and specifying a method for migrating to cim-osa",open system architecture for cim
84,book,1,paperback,0,0471924393,,3π13,1989,john wiley & sons,g123,this book explains the use of both the turbo c graphics library and the set of graphics c functions (based on that library) which is included in the book. δωρεα στη βιβλιοθηκη ιπ-ιτε.,graphics programming in turbo c
85,report,2,paperback,0,,,cs,1993,commission of the european communities,race-lib,this report represents the achievements and the status of the race programme at the end of 1992 and describes the planning and the continuing activities for 1993.,"research and technology development in advanced communications technologies in europe, race 1993"
86,book,1,paperback,0,0314595777,,cs,1981,west publishing company,g117,"the purpose of this book is to provide students, primarily in the fields of business administration, economics, statistics and its applications.",introduction to statistics an applications approach
87,book,1,paperback,0,013457334x,,cs,1992,prentice-hall,gr83,this book provides a link between traditional information systems and modern knowledge-based systems.,information and knowledge-based systems
88,book,1,paperback,0,0333310837,,3π13,1981,macmillan press,g121,"this book is a concise course in computer graphics which shows beginners hoe to use a computer to draw simple shapes and patterns and teaches them, how to tackle the most sophisticated three-dimensional problems in graphics.",a practical introduction to computer graphics
89,book,1,paperback,0,0471148598,,cs,1996,john wiley & sons,,"this is a complete sourcebook that shows you how to use java to create sophisticated web applications. it includes a review of all commands and syntax of the language as well as a complete tutorial on building java applications to run on windows,macintosh",the java sourcebook a complete guide to creating java applets for the web
90,proceedings,2,paperback,0,,,cs,1995,hci international '95,c122,"this book includes 120 abstracts of the accepted poster presentations at the sixth international conference on human-computer interaction held in tokyo, japan, 9-14, july 1995.",hci international '95 in tokyo
91,report,1,paperback,0,,,cs,1992,department of computer science keio university,,this volume represents the research progressed fully or partly during april 1988 - march 1992 in anzai-amano laboratories. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,research reports anzai-amano laboratory april 1988 through march 1992
92,report,2,paperback,0,,,cs,1993,department of computer science keio university,g123,this volume represents the research progressed fully or partly during april 1992 - march 1993 in anzai-amano laboratories. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,research reports anzai-amano laboratory april 1993 through march 1994
93,report,1,paperback,0,,,cs,1993,department of computer science keio university,,this volume represents the research progressed fully or partly during april 1993 - march 1994 in anzai-amano laboratories.,research reports anzai-amano laboratory april 1993 through march 1994
94,report,1,paperback,0,,,cs,1995,department of computer science keio university,,this volume represents the research progressed fully or partly during april 1994 - march 1995 in anzai-amano laboratories. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,research reports anzai-amano laboratory april 1994 through march 1995
95,proceedings,2,hardbound,0,0444817956,,cs,1995,elsevier science publishers,g122,"this book presents the latest advances in the research of future computing and system design, as well as their relevant application, in the wide field of human-computer interaction. proceedings of the 6th int. conf. on hci, held in tokyo, july 1995 vol. 20a",symbiosis of human and artifact: future computing and design for human-computer interaction (20a)
