Abstract,Accepted,CnfJ,CondAccepted,Description,FullPaper,HardCopy,InPress,Link,PaperID,Project,SoftCopy,Submitted,Title,Topic,UndSubmission,Year
false,false,authored chapters in books and encyclopaedias,false,"book chapter, in ""issues in telecommunication and disability"", in the framework of the cost 219 programme, editor stephen von techner, brussels, belgium, october 1991, pp.8-12 (isbn 92-826-3128-1)",false,true,false,,122,cost 219,false,false,recent advances in telecommunication services and systems,telecommunication services,false,1991
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""issues in telecommunication and disability"", in the framework of the cost 219 programme, brussels, belgium, october 1991, pp. 141-156 (isbn 92-826-3128-1).",false,true,false,,123,cost 219,false,false,towards a model of terminal design,telecommunication services,false,1991
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""issues in telecommunication and disability"" in the framework of the cost 219 programme, brussels, belgium, october 1991, pp.396-416 (isbn 92-826-3128-1).",false,true,false,,124,cost 219,false,false,access to pictorial information by blind people,accessibility,false,1991
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""issues in telecommunication and disability"" in the framework of the cost 219 programme, brussels, belgium, october 1991, pp. 452-466 (isbn 92-826-3128-1).",false,true,false,,125,cost 219,false,false,technology today and tomorrow,telecommunication services,false,1991
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""telecommunications for all"" in the framework of the cost 219 programme, luxembourg, pp. 205-220",false,true,false,,126,cost 219,false,false,current trends in man-machine interfaces: potential impact on people with special needs,human-computer interaction,false,1995
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""telecommunications for all"" in the framework of the cost 219 programme, luxembourg, pp.28-40.",false,true,false,,127,cost 219,false,false,trends in telecommunication,telecommunication services,false,1995
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""telecommunications for all"" in the framework of the cost 219 programme, luxembourg, pp. 262-268.",false,true,false,,128,cost 219,false,false,impact on network developments on users with disabilities,rehabilitation teleinformatics,false,1995
false,false,authored chapters in books and encyclopaedias,false,"book chapter in ""telecommunications for all"" in the framework of the cost 219 programme, luxembourg, pp. 245-261.",true,true,false,,129,cost 219,false,false,multimedia services and applications in a broadband environment,metaphors,false,1995
false,false,invited talks,false,"disability workshop for the aim pilot phase programme, ec dgxiii, brussels, belgium, 5 pages.",false,true,false,,130,,false,false,some aspects of rehabilitation,rehabilitation,false,1987
false,false,invited talks,false,"3rd annual conference of occupational therapists sig in microcomputers, manchester, uk",false,true,false,,131,,false,false,strategies for the provision of computer-based integrated teaching tools for occupational therapy,communication aids,false,1987
false,false,invited talks,false,"45th annual conference of the hospital physicists association, canterbury, uk",false,true,false,,132,,false,false,a model-driven study of system structure and vocabulary specification in assistive communication devices,communication aids,false,1988
false,false,invited talks,false,"3rd european symposium ""europe facing the responsibility for people with special needs, heraklion, crete, greece, 31 august - 3 september 1990, 5 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@61e45f87,133,handynet,true,false,the development of the handynet european information system for people with special needs in greece,information systems,false,1990
false,false,invited talks,false,"international conference in the framework of the helios programme, rhodes, greece, 12-14 september 1990, 7 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@7c9b78e3,134,,true,false,tele-informatics as a tool in the process of the socio-economic integration of people with special needs,rehabilitation teleinformatics,false,1990
