BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
824,248,1999-09-24 00:00:00.0,37,1999-10-04 00:00:00.0,copy
2584,249,1999-09-24 00:00:00.0,37,1999-10-04 00:00:00.0,copy
2898,250,1998-11-26 00:00:00.0,20,1999-11-04 00:00:00.0,copy
2597,251,1999-07-05 00:00:00.0,36,1999-11-05 00:00:00.0,copy
2594,252,1999-07-05 00:00:00.0,36,1999-11-05 00:00:00.0,copy
1221,253,1999-09-01 00:00:00.0,32,2000-03-08 00:00:00.0,copy
2961,254,1999-09-01 00:00:00.0,32,2000-03-08 00:00:00.0,copy
701,255,1999-09-01 00:00:00.0,32,2000-03-08 00:00:00.0,copy
210,256,1999-09-01 00:00:00.0,32,2000-03-08 00:00:00.0,copy
1202,257,1999-09-01 00:00:00.0,32,2000-03-08 00:00:00.0,copy
2827,258,1999-01-25 00:00:00.0,32,2000-01-27 00:00:00.0,copy
1332,259,2000-01-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
1354,260,1999-09-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
1503,261,2000-01-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
2719,262,2000-02-22 00:00:00.0,37,2000-06-23 00:00:00.0,copy
2459,263,2000-01-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
2800,264,2000-01-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
2373,265,2000-02-24 00:00:00.0,37,2000-06-23 00:00:00.0,copy
2903,266,2000-03-30 00:00:00.0,47,2000-06-29 00:00:00.0,copy
1121,267,2000-03-30 00:00:00.0,47,2000-06-29 00:00:00.0,copy
2482,268,2000-03-30 00:00:00.0,47,2000-06-29 00:00:00.0,copy
2036,269,2000-03-30 00:00:00.0,47,2000-06-29 00:00:00.0,copy
2885,270,2000-06-30 00:00:00.0,47,2000-08-30 00:00:00.0,copy
2887,271,2000-06-30 00:00:00.0,47,2000-08-30 00:00:00.0,copy
2884,272,2000-06-30 00:00:00.0,47,2000-08-30 00:00:00.0,copy
711,273,2000-01-10 00:00:00.0,43,2000-09-13 00:00:00.0,copy
3005,274,2000-01-10 00:00:00.0,43,2000-09-13 00:00:00.0,copy
2549,275,1999-10-14 00:00:00.0,8,2000-09-13 00:00:00.0,copy
2829,276,1999-10-14 00:00:00.0,8,2000-09-13 00:00:00.0,copy
2661,277,1999-10-14 00:00:00.0,8,2000-09-13 00:00:00.0,copy
2659,278,1999-10-14 00:00:00.0,8,2000-09-13 00:00:00.0,copy
2998,279,1999-10-14 00:00:00.0,8,2000-09-13 00:00:00.0,copy
2685,280,1997-08-28 00:00:00.0,10,2000-09-14 00:00:00.0,photocopy
2885,281,1998-11-16 00:00:00.0,8,2000-09-15 00:00:00.0,copy
2887,282,1998-11-16 00:00:00.0,8,2000-09-15 00:00:00.0,copy
2884,283,1998-11-16 00:00:00.0,8,2000-09-15 00:00:00.0,copy
2794,284,1998-03-10 00:00:00.0,12,2000-11-07 00:00:00.0,copy
1432,285,1998-02-18 00:00:00.0,12,2000-11-07 00:00:00.0,copy
