source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,177,S/W Documentation,73105aa1-5f1c-4c81-8b1b-51dc0d243085
db1,179,RTLink/Plus,d2b8b963-8fd1-4712-b972-272cfd6ba36c
db1,181,Voice Processing,3c45bfc2-5d63-4e56-ba78-30c7955d7b0e
db1,182,TIDE/COST,ad5dcd8a-94f5-486e-a6ce-0f3169b93bf5
db1,184,SAS Software,b123872a-0972-4dd7-b7aa-a9e76d53abfc
db1,185,WorldToolKit for Windows,b7f041c3-43fe-42d8-a94d-c77cb44aad85
db1,187,Speech Recognition Systems,afb69613-45a5-4050-8457-1a4d750a63fd
db1,189,XENIX,b70b6cd7-00d7-4d62-958b-c4540b7eaeed
db1,190,TIDE/HEART,850f16e1-f7dd-4181-b7d2-baee8c3f07e9
db1,191,WordPerfect,1a0de049-ab3e-45b5-8f3a-8c1fcda57957
db1,196,Programming Languages,502fcb94-59d0-4b1c-9a4e-230521126c11
db1,197,Knowledge Representation,111a7d83-20cb-4df7-b92d-4835d46edcf4
db1,199,Focus Groups,a7a179fe-98ac-44e0-a6ee-536a8c9e030d
db1,201,Digital Libraries,bc1f983c-614e-47a2-a9df-ace9886529d0
db1,203,Software Evaluation,b7761f1c-d496-458f-a999-1eae81208acb
db1,207,Computer Supported Cooperative Work,a07c19b0-b4f3-4216-91e7-f0abf7726b95
db1,208,Microprocessors,b3d62be9-2ec2-4743-a949-ce5a46a64364
db1,210,Electronic Commerce,bf88f566-c1d9-4bb8-a36e-6cb6e05ce5e1
db1,213,Software Reuse,3ce7eb1b-a3ec-48f9-8669-dd56ca14517c
db1,216,Internet,5eaafda7-a0f3-4bbf-b7d5-d3d8baa53b15
db1,218,Audio-Visual,184f7b9f-0841-4bd2-bae7-5ebb1481a224
db1,221,Speech Reading,b0dfa11e-4378-447d-9b24-da1d53cb58f5
db1,226,Information Society,7b94dbf4-b67f-444f-8237-68cd826557cd
db1,230,Software Quality Management,282e4a18-66f4-42f9-baf5-f3e983a44516
